Date,Price,Open,High,Low,Vol.,Change %
04/11/2022,26.86,27.16,27.16,26.67,17.01K,-0.72%
04/12/2022,26.57,27.06,28.82,26.37,82.98K,-1.09%
04/13/2022,26.76,27.25,27.25,26.37,27.88K,0.74%
04/17/2022,27.06,26.96,27.25,26.96,51.74K,1.10%
04/18/2022,26.57,26.67,26.67,26.57,23.62K,-1.81%
04/19/2022,26.27,26.37,26.67,26.18,42.43K,-1.11%
04/20/2022,26.67,26.67,27.06,26.37,15.23K,1.49%
04/21/2022,26.96,26.67,27.25,26.67,35.01K,1.10%
04/24/2022,27.35,27.16,27.75,27.06,65.39K,1.45%
04/25/2022,27.16,27.16,27.35,26.57,76.50K,-0.72%
04/26/2022,27.35,27.16,27.45,27.06,44.99K,0.72%
04/27/2022,27.16,27.84,27.84,26.96,29.57K,-0.72%
04/28/2022,26.86,27.94,27.94,26.76,58.29K,-1.08%
05/05/2022,26.08,26.37,26.37,25.88,14.33K,-2.92%
05/08/2022,26.67,25.98,26.76,25.88,86.87K,2.26%
05/09/2022,26.76,26.86,26.96,26.67,48.06K,0.37%
05/10/2022,26.76,26.67,26.86,26.57,56.42K,0.00%
05/11/2022,26.47,26.47,26.67,26.37,41.89K,-1.10%
05/12/2022,26.08,26.57,26.57,25.98,29.64K,-1.48%
05/16/2022,25.59,25.69,25.98,25.59,65.64K,-1.88%
05/17/2022,25.49,25.59,25.88,24.80,67.09K,-0.38%
05/18/2022,25.49,25.49,26.27,25.00,11.72K,0.00%
05/19/2022,25.10,25.49,25.49,24.90,11.66K,-1.54%
05/22/2022,24.12,25.49,25.49,24.02,37.63K,-3.91%
05/23/2022,25.00,25.29,25.29,24.61,10.49K,3.66%
05/24/2022,24.51,24.41,25.39,24.31,7.49K,-1.96%
05/25/2022,24.22,24.61,24.61,24.02,14.84K,-1.20%
05/26/2022,24.31,24.22,25.39,23.82,21.56K,0.40%
05/29/2022,25.39,25.00,25.39,24.51,25.96K,4.44%
05/30/2022,26.08,25.00,27.55,25.00,29.12K,2.70%
05/31/2022,26.18,27.35,27.35,25.98,32.42K,0.38%
