Date,Price,Open,High,Low,Vol.,Change %
03/24/2022,22.20,22.20,22.40,22.00,2.26M,0.45%
03/27/2022,23.50,22.40,24.20,22.30,11.15M,5.86%
03/28/2022,23.10,23.70,23.80,23.10,3.20M,-1.70%
03/29/2022,23.50,22.90,23.90,22.80,6.34M,1.73%
03/30/2022,23.40,23.60,23.80,23.20,3.40M,-0.43%
03/31/2022,24.40,23.60,24.60,23.60,9.31M,4.27%
04/03/2022,24.40,24.60,25.00,24.30,5.51M,0.00%
04/04/2022,24.00,24.50,24.50,24.00,3.41M,-1.64%
04/05/2022,23.60,23.70,23.70,23.60,983.14K,-1.67%
04/06/2022,23.20,23.20,23.50,23.20,2.98M,-1.69%
04/07/2022,22.90,23.30,23.30,22.80,1.83M,-1.29%
04/10/2022,22.80,23.00,23.30,22.50,2.77M,-0.44%
04/11/2022,22.40,23.00,23.20,22.40,1.74M,-1.75%
04/12/2022,22.00,22.20,22.30,22.00,235.54K,-1.79%
04/13/2022,21.80,21.60,22.00,21.60,2.72M,-0.91%
04/17/2022,21.40,21.90,22.00,21.40,1.29M,-1.83%
04/18/2022,21.00,21.00,21.00,21.00,159.78K,-1.87%
04/19/2022,20.90,20.70,21.00,20.60,1.82M,-0.48%
04/20/2022,20.80,20.90,21.30,20.50,2.98M,-0.48%
04/21/2022,21.90,21.00,22.30,21.00,3.77M,5.29%
04/24/2022,21.30,22.00,22.20,21.10,2.26M,-2.74%
04/25/2022,21.00,21.00,21.20,20.60,1.19M,-1.41%
04/26/2022,21.30,21.00,21.60,20.90,1.82M,1.43%
04/27/2022,21.40,21.20,22.00,21.10,2.15M,0.47%
04/28/2022,21.20,21.50,21.70,21.10,1.82M,-0.93%
05/05/2022,21.10,21.00,21.40,20.90,513.94K,-0.47%
05/08/2022,21.80,21.20,22.00,21.20,3.10M,3.32%
05/09/2022,21.80,21.90,22.40,21.60,2.73M,0.00%
05/10/2022,21.10,21.90,22.10,21.00,3.85M,-3.21%
05/11/2022,20.30,21.30,21.50,20.20,2.05M,-3.79%
05/12/2022,21.20,20.60,21.60,20.10,3.05M,4.43%
05/16/2022,21.60,21.40,22.20,21.00,4.51M,1.89%
05/17/2022,21.30,21.80,22.00,20.60,2.85M,-1.39%
05/18/2022,20.30,21.50,21.70,20.30,2.61M,-4.69%
05/19/2022,19.60,20.50,20.50,19.30,2.16M,-3.45%
05/22/2022,18.90,20.60,20.60,18.70,2.85M,-3.57%
05/23/2022,19.60,19.70,20.20,19.40,1.82M,3.70%
05/24/2022,19.10,19.70,20.00,18.90,2.05M,-2.55%
05/25/2022,19.20,19.10,19.50,18.70,1.36M,0.52%
05/26/2022,19.20,19.20,19.30,18.90,812.73K,0.00%
05/29/2022,20.10,19.50,20.20,19.50,1.99M,4.69%
05/30/2022,20.60,20.20,21.10,19.90,4.61M,2.49%
05/31/2022,21.50,20.20,21.60,20.20,8.75M,4.37%
06/01/2022,21.40,21.60,21.80,21.20,3.21M,-0.47%
06/02/2022,22.10,21.50,22.40,21.30,7.75M,3.27%
06/05/2022,23.60,22.50,23.90,22.30,8.65M,6.79%
06/06/2022,23.20,23.50,23.60,23.20,3.06M,-1.69%
06/07/2022,22.80,22.80,22.80,22.80,367.18K,-1.72%
06/08/2022,23.00,22.40,23.30,22.40,10.19M,0.88%
06/09/2022,22.70,23.30,23.60,22.60,3.08M,-1.30%
06/12/2022,22.30,22.40,22.70,22.30,4.22M,-1.76%
06/13/2022,21.90,21.90,22.40,21.90,2.97M,-1.79%
06/14/2022,21.70,21.90,22.20,21.50,3.83M,-0.91%
06/15/2022,22.40,21.70,22.60,21.70,3.52M,3.23%
06/16/2022,22.30,22.50,23.00,22.20,5.44M,-0.45%
06/19/2022,22.50,22.80,23.40,22.40,6.46M,0.90%
06/20/2022,22.40,22.70,22.80,22.30,3.07M,-0.44%
06/21/2022,23.40,22.50,23.90,22.40,10.17M,4.46%
06/22/2022,23.20,23.80,23.90,23.10,4.69M,-0.85%
06/23/2022,23.40,23.10,23.70,23.10,5.25M,0.86%
06/26/2022,25.50,24.70,25.60,23.40,13.88M,8.97%
06/27/2022,25.40,25.70,26.40,25.10,8.52M,-0.39%
06/28/2022,25.60,25.40,26.10,25.20,8.83M,0.79%
06/29/2022,25.40,26.00,26.10,25.20,8.49M,-0.78%
06/30/2022,25.00,25.40,25.60,24.90,7.42M,-1.57%
07/03/2022,24.50,25.30,25.40,24.50,5.87M,-2.00%
07/04/2022,25.20,24.30,25.40,24.20,5.58M,2.86%
07/05/2022,26.30,25.50,26.60,25.40,11.19M,4.37%
07/06/2022,26.00,26.40,26.60,25.80,6.46M,-1.14%
07/07/2022,26.50,26.50,26.80,26.00,6.65M,1.92%
07/12/2022,26.30,26.60,27.30,26.00,4.64M,-0.75%
07/13/2022,25.80,26.30,26.40,25.80,3.81M,-1.90%
07/14/2022,25.50,25.60,25.90,25.30,3.50M,-1.16%
07/17/2022,25.40,25.60,26.20,25.30,4.55M,-0.39%
07/18/2022,24.90,25.60,25.60,24.90,1.65M,-1.97%
07/19/2022,24.50,24.60,24.60,24.50,183.64K,-1.61%
07/20/2022,24.30,24.10,24.70,24.10,5.02M,-0.82%
07/21/2022,23.90,24.70,24.70,23.90,2.35M,-1.65%
07/24/2022,23.50,23.90,24.00,23.50,527.29K,-1.67%
07/25/2022,24.10,23.10,24.40,23.10,3.89M,2.55%
07/26/2022,23.70,24.60,24.70,23.70,2.36M,-1.66%
07/27/2022,23.30,23.30,23.60,23.30,1.89M,-1.69%
07/28/2022,22.90,22.90,23.00,22.90,334.14K,-1.72%
07/31/2022,23.60,23.50,23.90,23.50,2.95M,3.06%
08/01/2022,23.90,23.80,24.40,23.50,3.18M,1.27%
08/02/2022,23.80,24.10,24.20,23.50,4.00M,-0.42%
08/03/2022,23.60,24.10,24.30,23.50,4.84M,-0.84%
08/04/2022,23.60,23.60,23.70,23.50,3.74M,0.00%
08/07/2022,23.50,23.50,23.60,23.50,830.77K,-0.42%
08/08/2022,24.00,23.50,24.40,23.50,6.57M,2.13%
08/10/2022,23.50,24.30,24.30,23.50,3.02M,-2.08%
08/11/2022,23.50,23.50,23.80,23.50,2.75M,0.00%
08/14/2022,23.50,23.60,23.70,23.50,2.27M,0.00%
08/16/2022,23.60,23.60,23.70,23.50,3.15M,0.43%
08/17/2022,23.60,23.70,23.80,23.50,2.65M,0.00%
08/21/2022,23.50,23.60,23.70,23.50,3.84M,-0.42%
08/22/2022,23.70,23.50,24.20,23.50,7.28M,0.85%
08/23/2022,23.60,23.80,24.10,23.60,5.02M,-0.42%
08/24/2022,23.50,23.60,23.80,23.50,3.48M,-0.42%
08/25/2022,23.60,23.50,23.70,23.50,4.11M,0.43%
08/28/2022,23.50,23.60,23.90,23.50,5.55M,-0.42%
08/29/2022,23.50,23.60,23.70,23.50,4.96M,0.00%
08/30/2022,23.50,23.60,23.70,23.50,3.92M,0.00%
08/31/2022,24.00,23.50,24.30,23.50,10.05M,2.13%
09/01/2022,23.70,24.10,24.10,23.60,2.93M,-1.25%
09/04/2022,23.50,23.70,23.80,23.50,5.20M,-0.84%
09/05/2022,23.50,23.50,23.60,23.50,1.04M,0.00%
09/06/2022,23.50,23.50,23.50,23.50,143.93K,0.00%
09/07/2022,23.50,23.50,23.50,23.50,131.27K,0.00%
09/08/2022,23.50,23.50,23.50,23.50,79.47K,0.00%
09/11/2022,23.50,23.50,23.50,23.50,69.97K,0.00%
09/12/2022,23.50,23.50,23.50,23.50,15.15K,0.00%
09/13/2022,23.50,23.50,23.50,23.50,18.62K,0.00%
09/14/2022,23.50,23.50,23.50,23.50,3.11K,0.00%
09/15/2022,23.50,23.50,23.50,23.50,5.36K,0.00%
09/18/2022,23.50,23.50,23.50,23.50,51.60K,0.00%
09/19/2022,23.50,23.50,23.50,23.50,298.02K,0.00%
09/20/2022,23.50,23.50,23.50,23.50,61.09K,0.00%
09/21/2022,23.50,23.50,23.50,23.50,2.15K,0.00%
09/22/2022,23.50,23.50,23.50,23.50,24.15K,0.00%
09/25/2022,23.50,23.50,23.50,23.50,4.21K,0.00%
09/26/2022,23.50,23.50,23.50,23.50,18.04K,0.00%
09/27/2022,23.50,23.50,23.50,23.50,3.53K,0.00%
09/28/2022,23.50,23.50,23.50,23.50,12.42K,0.00%
09/29/2022,23.50,23.50,23.50,23.50,1.32K,0.00%
10/02/2022,23.50,23.50,23.50,23.50,1.11K,0.00%
10/03/2022,23.50,23.50,23.50,23.50,1.80K,0.00%
10/04/2022,23.50,23.50,23.50,23.50,5.59K,0.00%
10/06/2022,23.50,23.50,23.50,23.50,4.25K,0.00%
10/10/2022,23.50,23.50,23.50,23.50,21.20K,0.00%
10/11/2022,23.50,23.50,23.50,23.50,0.50K,0.00%
10/12/2022,23.50,23.50,23.50,23.50,3.05K,0.00%
10/13/2022,23.50,23.50,23.50,23.50,10.13K,0.00%
10/16/2022,23.50,23.50,23.50,23.50,0.01K,0.00%
10/17/2022,23.50,23.50,23.50,23.50,0.07K,0.00%
10/18/2022,23.50,23.50,23.50,23.50,0.60K,0.00%
10/19/2022,23.50,23.50,23.50,23.50,8.20K,0.00%
10/20/2022,23.50,23.50,23.50,23.50,0.31K,0.00%
10/24/2022,23.50,23.50,23.50,23.50,0.10K,0.00%
10/25/2022,23.50,23.50,23.50,23.50,0.58K,0.00%
10/26/2022,23.50,23.50,23.50,23.50,4.10K,0.00%
10/27/2022,23.50,23.50,23.50,23.50,3.00K,0.00%
10/30/2022,23.50,23.50,23.50,23.50,0.10K,0.00%
10/31/2022,23.50,23.50,23.50,23.50,0.11K,0.00%
11/01/2022,23.50,23.50,23.50,23.50,0.08K,0.00%
11/02/2022,23.50,23.50,23.50,23.50,0.10K,0.00%
11/03/2022,23.50,23.50,23.50,23.50,0.16K,0.00%
11/06/2022,23.50,23.50,23.50,23.50,0.11K,0.00%
11/07/2022,23.50,23.50,23.50,23.50,0.01K,0.00%
11/08/2022,23.50,23.50,23.50,23.50,0.20K,0.00%
11/09/2022,23.50,23.50,23.50,23.50,0.20K,0.00%
11/10/2022,23.50,23.50,23.50,23.50,20.20K,0.00%
11/13/2022,23.50,23.50,23.50,23.50,61.07K,0.00%
11/14/2022,23.50,23.50,23.50,23.50,0.00K,0.00%
11/15/2022,23.50,23.50,23.50,23.50,0.10K,0.00%
11/16/2022,23.50,23.50,23.50,23.50,0.00K,0.00%
11/17/2022,23.50,23.50,23.50,23.50,0.01K,0.00%
11/23/2022,23.50,23.50,23.50,23.50,0.30K,0.00%
11/24/2022,23.50,23.50,23.50,23.50,0.01K,0.00%
11/27/2022,23.50,23.50,23.50,23.50,0.00K,0.00%
11/28/2022,23.50,23.50,23.50,23.50,6.50K,0.00%
12/04/2022,23.50,23.50,23.50,23.50,0.00K,0.00%
12/05/2022,23.50,23.50,23.50,23.50,0.00K,0.00%
12/06/2022,23.50,23.50,23.50,23.50,0.01K,0.00%
12/07/2022,23.50,23.50,23.50,23.50,0.00K,0.00%
12/08/2022,23.50,23.50,23.50,23.50,0.70K,0.00%
12/11/2022,23.50,23.50,23.50,23.50,0.00K,0.00%
12/12/2022,23.50,23.50,23.50,23.50,0.00K,0.00%
12/13/2022,23.50,23.50,23.50,23.50,0.03K,0.00%
12/14/2022,23.50,23.50,23.50,23.50,0.00K,0.00%
12/15/2022,23.50,23.50,23.50,23.50,0.02K,0.00%
12/19/2022,23.50,23.50,23.50,23.50,0.00K,0.00%
12/20/2022,23.50,23.50,23.50,23.50,0.03K,0.00%
12/21/2022,23.50,23.50,23.50,23.50,0.50K,0.00%
12/22/2022,23.50,23.50,23.50,23.50,0.08K,0.00%
12/26/2022,23.50,23.50,23.50,23.50,0.00K,0.00%
12/29/2022,23.50,23.50,23.50,23.50,0.30K,0.00%
01/01/2023,23.50,23.50,23.50,23.50,0.10K,0.00%
01/02/2023,23.50,23.50,23.50,23.50,0.10K,0.00%
01/03/2023,23.50,23.50,23.50,23.50,0.05K,0.00%
01/04/2023,23.50,23.50,23.50,23.50,0.13K,0.00%
01/08/2023,23.50,23.50,23.50,23.50,4.00K,0.00%
01/10/2023,23.50,23.50,23.50,23.50,0.00K,0.00%
01/11/2023,23.50,23.50,23.50,23.50,0.08K,0.00%
01/15/2023,23.50,23.50,23.50,23.50,0.00K,0.00%
01/16/2023,23.50,23.50,23.50,23.50,0.00K,0.00%
01/17/2023,23.50,23.50,23.50,23.50,10.08K,0.00%
01/18/2023,23.50,23.50,23.50,23.50,0.05K,0.00%
01/22/2023,23.50,23.50,23.50,23.50,1.01K,0.00%
01/23/2023,23.50,23.50,23.50,23.50,0.00K,0.00%
01/24/2023,23.50,23.50,23.50,23.50,0.00K,0.00%
01/25/2023,23.50,23.50,23.50,23.50,0.00K,0.00%
01/26/2023,23.50,23.50,23.50,23.50,0.20K,0.00%
01/29/2023,23.50,23.50,23.50,23.50,0.28K,0.00%
01/30/2023,23.50,23.50,23.50,23.50,14.22K,0.00%
02/01/2023,23.50,23.50,23.50,23.50,0.20K,0.00%
02/02/2023,23.50,23.50,23.50,23.50,0.66K,0.00%
02/05/2023,23.50,23.50,23.50,23.50,0.03K,0.00%
02/06/2023,23.50,23.50,23.50,23.50,0.00K,0.00%
02/08/2023,23.50,23.50,23.50,23.50,0.06K,0.00%
02/12/2023,23.50,23.50,23.50,23.50,0.06K,0.00%
02/13/2023,23.50,23.50,23.50,23.50,0.05K,0.00%
02/14/2023,23.50,23.50,23.50,23.50,0.45K,0.00%
02/15/2023,23.50,23.50,23.50,23.50,0.00K,0.00%
02/16/2023,23.50,23.50,23.50,23.50,0.25K,0.00%
02/26/2023,23.50,23.50,23.50,23.50,0.05K,0.00%
02/28/2023,23.50,23.50,23.50,23.50,1.00K,0.00%
03/01/2023,23.50,23.50,23.50,23.50,0.00K,0.00%
03/02/2023,23.50,23.50,23.50,23.50,0.05K,0.00%
03/05/2023,23.50,23.50,23.50,23.50,2.75K,0.00%
03/06/2023,23.50,23.50,23.50,23.50,0.00K,0.00%
03/09/2023,23.50,23.50,23.50,23.50,0.19K,0.00%
03/12/2023,23.50,23.50,23.50,23.50,0.60K,0.00%
03/13/2023,23.50,23.50,23.50,23.50,1.50K,0.00%
03/15/2023,23.50,23.50,23.50,23.50,0.02K,0.00%
03/16/2023,23.50,23.50,23.50,23.50,1.00K,0.00%
03/19/2023,23.50,23.50,23.50,23.50,0.05K,0.00%
03/22/2023,23.50,23.50,23.50,23.50,0.00K,0.00%
03/29/2023,23.50,23.50,23.50,23.50,0.50K,0.00%
04/03/2023,23.50,23.50,23.50,23.50,0.02K,0.00%
04/04/2023,23.50,23.50,23.50,23.50,0.01K,0.00%
04/05/2023,23.50,23.50,23.50,23.50,0.12K,0.00%
04/09/2023,23.50,23.50,23.50,23.50,2.91K,0.00%
04/10/2023,23.50,23.50,23.50,23.50,0.27K,0.00%
04/12/2023,23.50,23.50,23.50,23.50,0.17K,0.00%
04/13/2023,23.50,23.50,23.50,23.50,0.09K,0.00%
04/16/2023,23.50,23.50,23.50,23.50,55.20K,0.00%
04/18/2023,23.50,23.50,23.50,23.50,0.11K,0.00%
04/24/2023,23.50,23.50,23.50,23.50,6.52K,0.00%
04/26/2023,23.50,23.50,23.50,23.50,21.10K,0.00%
04/27/2023,23.50,23.50,23.50,23.50,5.84K,0.00%
04/30/2023,23.50,23.50,23.50,23.50,0.55K,0.00%
05/02/2023,23.50,23.50,23.50,23.50,0.52K,0.00%
05/03/2023,23.50,23.50,23.50,23.50,0.00K,0.00%
05/07/2023,23.50,23.50,23.50,23.50,1.51K,0.00%
05/08/2023,23.50,23.50,23.50,23.50,0.42K,0.00%
05/09/2023,23.50,23.50,23.50,23.50,8.95K,0.00%
05/10/2023,23.50,23.50,23.50,23.50,6.22K,0.00%
05/11/2023,23.50,23.50,23.50,23.50,1.01K,0.00%
