Date,Price,Open,High,Low,Vol.,Change %
07/03/2022,66.90,66.70,68.50,66.50,68.10K,-1.33%
07/04/2022,66.90,66.00,68.30,66.00,58.48K,0.00%
07/05/2022,67.00,67.10,68.80,66.50,61.26K,0.15%
07/06/2022,67.70,66.30,67.90,66.30,18.64K,1.04%
07/07/2022,68.90,66.60,69.20,66.60,68.86K,1.77%
07/12/2022,67.80,68.00,68.50,67.70,23.19K,-1.60%
07/13/2022,67.80,67.10,68.90,67.10,19.48K,0.00%
07/14/2022,67.60,67.00,68.80,67.00,24.32K,-0.29%
07/17/2022,67.30,67.60,68.00,67.00,22.77K,-0.44%
07/18/2022,66.00,67.10,67.50,66.00,43.86K,-1.93%
07/19/2022,64.70,66.00,66.00,64.70,26.64K,-1.97%
07/20/2022,63.50,66.80,66.80,63.50,39.00K,-1.85%
07/21/2022,63.90,68.00,68.00,62.50,66.94K,0.63%
07/24/2022,63.90,66.00,66.30,63.10,26.26K,0.00%
07/25/2022,64.80,65.20,65.30,63.20,41.37K,1.41%
07/26/2022,64.90,64.80,66.60,64.80,24.11K,0.15%
07/27/2022,64.00,64.60,64.80,63.70,39.48K,-1.39%
07/28/2022,64.10,63.00,64.30,62.90,35.95K,0.16%
07/31/2022,70.00,71.00,71.90,65.90,133.60K,9.20%
08/01/2022,69.10,72.00,72.00,69.00,78.73K,-1.29%
08/02/2022,70.70,69.10,71.30,68.00,169.75K,2.32%
08/03/2022,71.10,67.60,72.90,67.60,105.44K,0.57%
08/04/2022,70.20,69.40,70.80,69.00,92.73K,-1.27%
08/07/2022,71.20,69.50,71.90,68.80,174.41K,1.42%
08/08/2022,70.00,70.70,71.60,69.50,64.70K,-1.69%
08/10/2022,69.40,70.60,71.60,69.00,131.92K,-0.86%
08/11/2022,69.00,69.40,70.40,68.90,33.12K,-0.58%
08/14/2022,69.80,69.00,70.20,69.00,37.27K,1.16%
08/16/2022,69.90,70.00,70.70,69.90,112.99K,0.14%
08/17/2022,70.10,71.00,71.00,69.70,113.25K,0.29%
08/21/2022,69.00,71.00,71.00,69.00,179.60K,-1.57%
08/22/2022,70.80,68.50,71.20,68.50,148.91K,2.61%
08/23/2022,69.30,71.00,71.00,69.00,247.23K,-2.12%
08/24/2022,68.80,69.00,70.10,68.60,210.06K,-0.72%
08/28/2022,67.60,69.40,69.40,67.30,221.05K,-1.74%
08/29/2022,66.30,67.00,68.40,66.10,127.99K,-1.92%
08/30/2022,66.20,65.00,67.00,65.00,172.71K,-0.15%
08/31/2022,68.10,65.70,68.60,65.40,376.83K,2.87%
09/01/2022,68.40,68.10,69.80,68.10,160.11K,0.44%
09/04/2022,67.40,68.00,69.00,66.70,222.17K,-1.46%
09/05/2022,66.50,66.70,68.20,66.20,159.90K,-1.34%
09/06/2022,66.90,68.70,68.70,65.70,109.43K,0.60%
09/07/2022,66.90,68.50,68.50,66.80,177.14K,0.00%
09/08/2022,67.00,68.00,68.30,66.40,163.85K,0.15%
09/11/2022,65.80,68.00,68.00,65.80,81.61K,-1.79%
09/12/2022,66.80,65.40,67.80,65.40,73.34K,1.52%
09/13/2022,65.90,66.10,67.00,65.40,68.45K,-1.35%
09/14/2022,65.60,67.50,67.50,65.30,66.47K,-0.46%
09/15/2022,65.40,68.70,68.70,65.00,61.50K,-0.30%
09/18/2022,66.50,65.10,68.50,65.10,203.82K,1.68%
09/19/2022,67.00,65.00,67.90,65.00,149.69K,0.75%
09/20/2022,67.10,67.90,70.00,67.00,320.64K,0.15%
09/21/2022,65.60,69.80,69.80,65.30,83.36K,-2.24%
09/22/2022,67.00,67.50,68.40,65.10,103.92K,2.13%
09/25/2022,65.30,69.10,69.10,65.00,88.75K,-2.54%
09/26/2022,64.80,65.30,66.50,64.40,68.67K,-0.77%
09/27/2022,64.30,67.70,67.70,64.30,74.24K,-0.77%
09/28/2022,64.30,64.30,65.50,64.30,41.00K,0.00%
09/29/2022,64.30,64.30,64.60,64.30,29.77K,0.00%
10/02/2022,64.30,65.30,65.30,64.30,30.01K,0.00%
10/03/2022,64.70,65.00,65.70,64.30,49.57K,0.62%
10/04/2022,64.30,64.30,64.30,64.30,20.31K,-0.62%
10/06/2022,64.40,64.30,65.60,64.30,47.75K,0.16%
10/10/2022,64.40,64.30,64.90,64.30,91.77K,0.00%
10/11/2022,64.30,64.30,65.00,64.30,34.75K,-0.16%
10/12/2022,64.30,64.30,65.00,64.30,26.08K,0.00%
10/13/2022,64.50,66.00,66.00,64.30,127.37K,0.31%
10/16/2022,64.30,64.60,66.30,64.30,22.52K,-0.31%
10/17/2022,64.30,64.40,64.40,64.30,25.89K,0.00%
10/18/2022,64.30,64.30,64.30,64.30,1.09K,0.00%
10/19/2022,64.30,64.30,64.30,64.30,0.22K,0.00%
10/20/2022,64.30,64.30,64.30,64.30,1.87K,0.00%
10/23/2022,64.30,64.30,64.30,64.30,0.62K,0.00%
10/24/2022,64.30,64.30,64.30,64.30,0.01K,0.00%
10/25/2022,64.30,64.30,64.30,64.30,0.72K,0.00%
10/26/2022,64.30,64.30,64.30,64.30,0.00K,0.00%
10/27/2022,64.30,64.30,64.30,64.30,1.15K,0.00%
10/30/2022,64.30,64.30,64.30,64.30,18.39K,0.00%
10/31/2022,64.30,64.30,64.30,64.30,0.00K,0.00%
11/01/2022,64.30,64.30,64.30,64.30,0.15K,0.00%
11/02/2022,64.80,64.30,66.30,64.30,55.58K,0.78%
11/03/2022,67.50,65.00,68.60,64.70,280.17K,4.17%
11/06/2022,70.30,66.50,71.90,66.50,451.30K,4.15%
11/07/2022,69.30,69.30,71.20,67.70,441.64K,-1.42%
11/08/2022,67.10,67.70,69.60,66.40,65.66K,-3.17%
11/09/2022,69.40,66.60,71.20,66.00,309.01K,3.43%
11/10/2022,69.40,70.00,71.70,69.00,222.21K,0.00%
11/13/2022,65.50,69.10,69.10,65.20,73.97K,-5.62%
11/14/2022,64.40,65.00,65.90,64.30,110.96K,-1.68%
11/15/2022,64.30,65.60,65.60,64.30,53.92K,-0.16%
11/16/2022,64.60,64.30,65.30,64.30,67.83K,0.47%
11/17/2022,68.50,65.90,69.50,65.70,319.18K,6.04%
11/20/2022,69.60,68.70,72.80,68.10,479.51K,1.61%
11/21/2022,67.60,69.60,69.80,66.00,104.42K,-2.87%
11/22/2022,69.50,67.20,71.00,67.20,226.50K,2.81%
11/23/2022,70.10,69.50,72.40,69.50,299.36K,0.86%
11/24/2022,69.00,68.10,70.30,68.10,72.08K,-1.57%
11/27/2022,67.60,68.40,69.30,67.20,103.77K,-2.03%
11/28/2022,65.20,66.20,68.30,65.00,78.72K,-3.55%
11/29/2022,65.20,66.90,66.90,64.40,48.29K,0.00%
11/30/2022,64.60,66.80,66.80,64.40,72.70K,-0.92%
12/01/2022,66.20,65.00,67.40,64.30,70.75K,2.48%
12/04/2022,64.40,67.00,67.00,64.30,135.34K,-2.72%
12/05/2022,64.30,64.80,65.50,64.30,91.16K,-0.16%
