Date,Price,Open,High,Low,Vol.,Change %
04/11/2022,16.60,17.00,17.00,16.60,110.64K,-1.19%
04/12/2022,16.30,16.40,16.50,16.30,115.17K,-1.81%
04/13/2022,16.40,16.10,16.60,16.00,165.89K,0.61%
04/17/2022,16.10,16.30,16.30,16.10,175.06K,-1.83%
04/18/2022,15.80,16.10,16.10,15.80,165.85K,-1.86%
04/19/2022,15.80,15.60,16.00,15.50,268.56K,0.00%
04/20/2022,16.30,16.00,16.40,15.80,288.54K,3.16%
04/21/2022,16.40,16.10,16.60,16.10,355.16K,0.61%
04/24/2022,16.60,16.70,16.70,16.30,226.64K,1.22%
04/25/2022,16.50,16.40,16.70,16.30,117.27K,-0.60%
04/26/2022,16.40,16.40,16.60,16.30,96.13K,-0.61%
04/27/2022,17.50,16.80,17.90,16.70,544.80K,6.71%
04/28/2022,17.30,17.90,17.90,17.00,278.98K,-1.14%
05/05/2022,17.50,17.20,17.50,17.10,88.76K,1.16%
05/08/2022,17.90,17.40,17.90,17.40,355.96K,2.29%
05/09/2022,17.80,18.00,18.00,17.60,690.07K,-0.56%
05/10/2022,18.00,18.00,18.50,17.80,923.62K,1.12%
05/11/2022,17.40,17.60,18.20,17.30,338.99K,-3.33%
05/12/2022,17.50,17.30,17.70,17.20,436.78K,0.57%
05/16/2022,16.70,17.50,17.50,16.70,376.30K,-4.57%
05/17/2022,16.50,17.00,17.00,16.10,360.90K,-1.20%
05/18/2022,15.90,16.50,16.90,15.70,253.90K,-3.64%
05/19/2022,15.90,15.90,16.30,15.50,151.74K,0.00%
05/22/2022,15.60,15.80,15.90,15.60,85.23K,-1.89%
05/23/2022,16.40,16.80,16.80,16.10,160.45K,5.13%
05/24/2022,16.00,16.80,16.80,15.80,162.24K,-2.44%
05/25/2022,15.90,15.80,16.30,15.70,118.55K,-0.63%
05/26/2022,16.10,16.10,16.30,15.70,61.16K,1.26%
05/29/2022,16.90,17.40,17.40,16.40,153.76K,4.97%
05/30/2022,17.00,17.30,17.40,16.80,312.16K,0.59%
05/31/2022,16.90,17.00,17.10,16.70,134.10K,-0.59%
06/01/2022,17.20,17.00,17.40,17.00,264.01K,1.78%
06/02/2022,17.20,17.40,17.40,17.00,244.06K,0.00%
06/05/2022,17.10,17.30,17.30,17.00,235.21K,-0.58%
06/06/2022,16.90,17.10,17.20,16.80,172.84K,-1.17%
06/07/2022,16.80,16.70,17.10,16.60,153.66K,-0.59%
06/08/2022,17.40,16.90,17.60,16.90,366.29K,3.57%
06/09/2022,17.30,17.40,17.60,17.30,332.60K,-0.57%
06/12/2022,17.00,17.10,17.40,17.00,182.22K,-1.73%
06/13/2022,17.40,17.20,17.70,17.00,739.23K,2.35%
06/14/2022,17.10,17.50,17.60,17.10,454.15K,-1.72%
06/15/2022,17.40,17.00,17.50,16.90,590.25K,1.75%
06/16/2022,17.30,17.30,17.60,17.20,481.76K,-0.57%
06/19/2022,17.10,17.70,17.70,17.10,216.56K,-1.16%
06/20/2022,16.80,17.00,17.10,16.80,400.05K,-1.75%
06/21/2022,16.60,16.50,17.00,16.50,90.66K,-1.19%
06/22/2022,16.80,16.60,17.50,16.60,169.25K,1.20%
06/23/2022,16.80,16.70,16.90,16.70,95.32K,0.00%
06/26/2022,17.00,17.00,17.10,16.70,220.79K,1.19%
06/27/2022,17.40,17.00,17.60,16.90,426.26K,2.35%
06/28/2022,17.40,17.70,17.70,17.30,272.98K,0.00%
06/29/2022,17.40,17.30,17.60,17.20,444.43K,0.00%
06/30/2022,18.10,17.50,18.40,17.50,1.58M,4.02%
07/03/2022,17.80,18.00,18.30,17.80,398.27K,-1.66%
07/04/2022,18.40,17.70,18.70,17.50,1.10M,3.37%
07/05/2022,18.10,18.40,18.80,18.10,779.73K,-1.63%
07/06/2022,17.90,18.10,18.40,17.80,442.17K,-1.10%
07/07/2022,18.40,17.80,19.00,17.80,1.54M,2.79%
07/12/2022,19.20,18.30,19.40,18.30,1.14M,4.35%
07/13/2022,18.90,19.20,19.30,18.90,515.61K,-1.56%
07/14/2022,18.60,19.00,19.00,18.60,526.12K,-1.59%
07/17/2022,18.30,18.70,18.70,18.30,510.31K,-1.61%
07/18/2022,18.00,18.10,18.10,18.00,126.05K,-1.64%
07/19/2022,17.70,17.70,17.70,17.70,10.85K,-1.67%
07/20/2022,17.70,17.40,17.80,17.40,533.68K,0.00%
07/21/2022,17.60,17.90,18.30,17.40,297.00K,-0.56%
07/24/2022,17.30,17.60,18.20,17.30,483.36K,-1.70%
07/25/2022,17.80,17.40,18.10,17.00,633.01K,2.89%
07/26/2022,17.50,17.80,18.40,17.50,521.48K,-1.69%
07/27/2022,17.20,17.40,17.80,17.20,503.62K,-1.71%
07/28/2022,16.90,16.90,17.60,16.90,159.37K,-1.74%
07/31/2022,17.40,17.30,17.70,17.30,543.83K,2.96%
08/01/2022,18.00,17.70,18.40,17.70,711.73K,3.45%
08/02/2022,18.20,18.20,18.60,18.00,1.33M,1.11%
08/03/2022,19.40,18.40,19.60,18.20,3.32M,6.59%
08/04/2022,21.00,19.80,21.10,19.20,5.59M,8.25%
08/07/2022,21.30,20.80,21.60,20.20,3.07M,1.43%
08/08/2022,20.40,21.50,21.60,20.30,2.79M,-4.23%
08/10/2022,19.00,20.40,20.70,18.80,1.46M,-6.86%
08/11/2022,18.90,18.60,19.40,18.40,1.07M,-0.53%
08/14/2022,20.10,19.50,20.40,19.00,1.32M,6.35%
08/16/2022,20.50,20.50,20.70,20.30,2.31M,1.99%
08/17/2022,20.00,20.50,21.00,19.90,1.59M,-2.44%
08/21/2022,20.10,20.10,20.40,19.70,1.19M,0.50%
08/22/2022,20.90,20.30,21.40,20.10,3.98M,3.98%
08/23/2022,20.40,21.20,21.30,20.20,1.65M,-2.39%
08/24/2022,20.10,20.40,21.10,19.80,2.31M,-1.47%
08/25/2022,19.90,20.50,20.70,19.70,1.58M,-1.00%
